City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
548,Lazurne,UA,46.084,32.5295,66.56,65,22,2.82,few clouds
549,Murgab,TM,37.4966,61.9714,73.27,38,0,6.91,clear sky
550,Kurumkan,RU,54.3,110.3,76.21,41,61,3.76,broken clouds
551,Ottappalam,IN,10.7667,76.3833,77.65,90,100,1.14,overcast clouds
552,Doume,CM,4.2333,13.45,65.93,100,100,1.97,overcast clouds
553,Santiago Del Estero,AR,-27.7951,-64.2615,60.33,33,98,7.87,overcast clouds
554,Witu,KE,-2.3889,40.4382,77.16,88,20,10.76,few clouds
555,Hambantota,LK,6.1241,81.1185,79.14,100,40,5.75,scattered clouds
556,Trapani,IT,37.8333,12.6667,68.23,83,0,5.75,clear sky
557,Ulladulla,AU,-35.35,150.4667,61.77,54,71,11.34,broken clouds
558,Zabol,AF,32.25,67.25,73.49,27,0,11.99,clear sky
559,Loknya,RU,56.83,30.1467,50.68,97,99,4.7,overcast clouds
560,Cap Malheureux,MU,-19.9842,57.6142,69.48,77,1,12.46,clear sky
561,Radcliffe,GB,53.55,-2.3333,64.24,59,100,5.46,overcast clouds
562,Darien,US,41.752,-87.974,87.39,44,0,6.91,clear sky
563,Tautira,PF,-17.7333,-149.15,78.8,73,45,16.06,scattered clouds
564,Chistogorskiy,RU,53.9835,87.3843,60.28,96,100,6.78,overcast clouds
565,Port Blair,IN,11.6667,92.75,84.24,79,40,9.22,scattered clouds
566,Namibe,AO,-15.1961,12.1522,63.19,73,5,1.39,clear sky
567,Seoul,KR,37.5683,126.9778,74.77,68,75,3.44,mist
568,Siguiri,GN,11.6667,-9.5,71.6,92,100,7.25,moderate rain
569,San Quintin,MX,30.4833,-115.95,66.24,72,1,5.26,clear sky
570,Senador Guiomard,BR,-10.1522,-67.7392,73.15,81,94,3.76,overcast clouds
571,Turkistan,KZ,43.0,68.0,81.93,27,62,16.91,broken clouds
572,Shingu,JP,33.7333,135.9833,78.26,69,100,2.55,light rain
573,Broome,US,42.2506,-75.833,72.46,86,0,8.05,mist
574,Kastamonu,TR,41.5,33.6667,50.47,92,61,0.47,broken clouds
575,Tuatapere,NZ,-46.1333,167.6833,46.99,73,7,0.27,clear sky
576,Gazanjyk,TM,39.2446,55.5154,76.84,58,0,9.37,clear sky
577,Brigantine,US,39.4101,-74.3646,71.8,85,100,12.66,overcast clouds
578,Faya,SA,18.3851,42.4509,63.12,30,1,4.65,clear sky
579,Middlesbrough,GB,54.5762,-1.2348,66.22,59,100,8.1,overcast clouds
580,Vila Velha,BR,-20.3297,-40.2925,66.15,90,20,3.44,few clouds
581,Menongue,AO,-14.6585,17.691,50.13,63,28,3.38,scattered clouds
582,Samarai,PG,-10.6167,150.6667,81.66,78,69,8.72,broken clouds
583,Dolores,AR,-36.3132,-57.6792,46.63,82,0,1.43,clear sky
584,Mali,GN,12.079,-12.2982,63.75,84,100,4.76,overcast clouds
585,Palana,RU,59.1167,159.9667,45.41,95,100,6.6,moderate rain
586,Osa,RU,57.2829,55.4567,61.83,93,100,3.71,overcast clouds
587,Saint-Chamond,FR,45.4737,4.5254,67.62,77,0,0.0,clear sky
588,Kota Kinabalu,MY,5.9749,116.0724,87.78,74,20,2.3,few clouds
589,Karimnagar,IN,18.4333,79.15,84.87,65,100,8.43,overcast clouds
590,Warmbad,NA,-28.45,18.7333,55.6,29,100,9.89,overcast clouds
591,Gweru,ZW,-19.45,29.8167,45.39,98,32,5.73,scattered clouds
592,Ugoofaaru,MV,5.6667,73.0,83.17,74,100,11.05,overcast clouds
593,Qasigiannguit,GL,68.8193,-51.1922,39.45,94,100,2.86,overcast clouds
594,Urumqi,CN,43.801,87.6005,70.75,56,0,4.47,clear sky
595,Lamar,US,33.6668,-95.5836,84.63,69,0,6.91,clear sky
596,Alta Floresta,BR,-9.8756,-56.0861,73.76,66,52,2.93,broken clouds
597,Kisangani,CD,0.5167,25.2,70.54,98,100,1.32,light rain
598,Pangnirtung,CA,66.1451,-65.7125,30.52,96,97,1.99,overcast clouds
599,Mabaruma,GY,8.2,-59.7833,72.79,99,99,2.28,overcast clouds
600,Mayo,US,38.8876,-76.5119,78.26,87,0,10.36,clear sky
601,Liverpool,GB,53.4106,-2.9779,65.82,50,99,5.01,overcast clouds
602,Shinshiro,JP,34.9,137.5,78.44,60,100,9.15,overcast clouds
603,Taki,IN,22.5861,88.9214,87.75,70,99,19.17,light rain
604,Dawson Creek,CA,55.7666,-120.2362,65.84,45,75,10.36,broken clouds
605,Kindu,CD,-2.95,25.95,70.2,75,36,0.96,scattered clouds
606,Bhadra,IN,29.1167,75.1667,92.62,41,28,3.98,scattered clouds
607,Lincoln,US,40.8,-96.667,77.07,76,100,10.36,thunderstorm with heavy rain
608,Dingalan,PH,15.3897,121.3929,88.02,64,54,3.6,broken clouds
609,Dordrecht,NL,51.81,4.6736,64.96,76,100,6.35,overcast clouds
610,Geraldton,AU,-28.7667,114.6,66.61,94,75,21.85,broken clouds
611,Chumphon,TH,10.3333,98.8333,79.65,80,100,0.89,overcast clouds
612,Yeniseysk,RU,58.4497,92.1703,57.81,98,100,6.44,light rain
613,Suwannaphum,TH,15.6035,103.8021,90.86,53,74,7.7,broken clouds
614,Asind,IN,25.7333,74.3333,82.99,71,0,16.22,clear sky
615,Abha,SA,18.2164,42.5053,62.85,55,0,0.0,clear sky
616,Dentsville,US,34.064,-80.9582,73.42,88,20,5.75,light rain
617,San Lazaro,BZ,18.0387,-88.6622,73.92,93,100,4.45,overcast clouds
618,Buin,CL,-33.7333,-70.75,52.74,72,78,2.66,broken clouds
619,Puerto Baquerizo Moreno,EC,-0.9,-89.6,71.11,88,70,13.85,broken clouds
620,Latung,PH,5.5,120.8833,82.33,73,69,3.6,broken clouds
621,Lusambo,CD,-4.9667,23.45,71.19,51,30,1.52,scattered clouds
622,Falam,MM,22.9167,93.6833,67.21,82,100,3.49,overcast clouds
623,Lakes Entrance,AU,-37.8811,147.981,57.15,70,100,9.66,overcast clouds
624,Calabozo,VE,8.9242,-67.4293,74.1,90,1,0.89,clear sky
625,Dasoguz,TM,41.8363,59.9666,73.35,40,0,4.61,clear sky
626,Santa Cruz,BO,-17.8,-63.1667,71.06,78,0,12.66,clear sky
627,Ixtapa,MX,20.7,-105.2,78.22,100,100,1.01,overcast clouds
628,Russellville,US,35.2784,-93.1338,84.34,84,75,0.0,broken clouds
629,Makhachkala,RU,42.9764,47.5024,75.18,63,5,7.54,clear sky
630,Springbok,ZA,-29.6643,17.8865,49.98,34,46,5.64,scattered clouds
631,Tual,ID,-5.6667,132.75,82.49,76,21,16.51,few clouds
632,Sabla,NG,12.7525,4.7077,79.75,65,98,6.31,light rain
