City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
551,Ottappalam,IN,77.65,overcast clouds,10.7667,76.3833,Builda Park inn
555,Hambantota,LK,79.14,scattered clouds,6.1241,81.1185,Bungalow 63
562,Darien,US,87.39,clear sky,41.752,-87.974,La Quinta Inn by Wyndham Chicago Willowbrook
563,Tautira,PF,78.8,scattered clouds,-17.7333,-149.15,Pension Oaoa
565,Port Blair,IN,84.24,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
572,Shingu,JP,78.26,light rain,33.7333,135.9833,Shingu UI Hotel
576,Gazanjyk,TM,76.84,clear sky,39.2446,55.5154,Railway motel
582,Samarai,PG,81.66,broken clouds,-10.6167,150.6667,Nuli Sapi
588,Kota Kinabalu,MY,87.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
589,Karimnagar,IN,84.87,overcast clouds,18.4333,79.15,Hotel Nawab's
592,Ugoofaaru,MV,83.17,overcast clouds,5.6667,73.0,Ungoofaaru Inn
595,Lamar,US,84.63,clear sky,33.6668,-95.5836,Kings Inn Paris TX
600,Mayo,US,78.26,clear sky,38.8876,-76.5119,Resorts Resource Group International
602,Shinshiro,JP,78.44,overcast clouds,34.9,137.5,丸登旅館
603,Taki,IN,87.75,light rain,22.5861,88.9214,Bisram Bagan Bari Taki
607,Lincoln,US,77.07,thunderstorm with heavy rain,40.8,-96.667,Courtyard by Marriott Lincoln Downtown/Haymarket
608,Dingalan,PH,88.02,broken clouds,15.3897,121.3929,Fil Dane Inn
611,Chumphon,TH,79.65,overcast clouds,10.3333,98.8333,สกาน จ๋า.
614,Asind,IN,82.99,clear sky,25.7333,74.3333,"HOTEL JIYA PALACE, ASIND"
627,Ixtapa,MX,78.22,overcast clouds,20.7,-105.2,hotel la terminal
628,Russellville,US,84.34,broken clouds,35.2784,-93.1338,Hampton Inn Russellville
629,Makhachkala,RU,75.18,clear sky,42.9764,47.5024,Argo
631,Tual,ID,82.49,few clouds,-5.6667,132.75,Grand Vilia Hotel
634,Dedougou,BF,77.49,overcast clouds,12.4667,-3.4667,Hôtel Bon Séjour
636,Kesabpur,BD,87.87,light rain,22.9167,89.2167,Hospital Para
640,Puerto Escondido,MX,78.64,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
642,Baglung,NP,75.99,scattered clouds,28.2719,83.5898,Hotel Peace Palace
646,Arang,IN,86.32,overcast clouds,21.2,81.9667,Hotel Kunwar Shree
647,Dongsheng,CN,86.65,overcast clouds,39.8161,109.9776,Crowne Plaza Ordos
650,Mozarlandia,BR,75.25,clear sky,-14.7447,-50.5706,Hotel Santa Mônica
651,Golden,US,87.03,scattered clouds,39.7555,-105.2211,"The Golden Hotel, Ascend Hotel Collection"
653,Basna,IN,85.44,overcast clouds,21.2833,82.8167,Hotel Grand Alfa [BASNA]
659,Dehloran,IR,87.98,clear sky,32.6941,47.2679,کافه گیم استورم
672,Buchanan,LR,76.3,moderate rain,5.8808,-10.0467,Kamaneahn Hotel Inc
674,Kloulklubed,PW,84.7,overcast clouds,7.0419,134.2556,Storyboard Beach Resort
675,Chabahar,IR,83.21,scattered clouds,25.2919,60.643,هتل گدروشیا
677,Yanam,IN,85.39,overcast clouds,16.7333,82.2167,The Regency Hotel
678,Puerto Colombia,CO,78.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
679,Hutchinson,US,89.04,clear sky,38.0608,-97.9298,Hampton Inn Hutchinson
680,Damietta,EG,75.09,clear sky,31.4165,31.8133,SULIMAN INN
684,Tianjin,CN,80.55,clear sky,39.1422,117.1767,Ibis Tianjin Tian Wei
689,Mitsamiouli,KM,76.75,clear sky,-11.3847,43.2844,Foyer ADM
691,Chirongui,YT,76.93,clear sky,-12.9319,45.1483,La Villa Mahatsara
