City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
27,Gravelbourg,49.8834,-106.5512,55.67,85,89,27.13,CA,2022-06-15 22:40:23
28,Bataipora,-22.2953,-53.2711,66.4,64,0,5.35,BR,2022-06-15 22:40:23
29,Turinsk,58.0458,63.696,52.95,92,33,5.19,RU,2022-06-15 22:40:23
30,Hilo,19.7297,-155.09,82.27,75,20,6.91,US,2022-06-15 22:40:23
31,Carutapera,-1.195,-46.02,76.66,78,95,8.81,BR,2022-06-15 22:40:24
32,Pangnirtung,66.1451,-65.7125,41.0,100,100,8.05,CA,2022-06-15 22:40:24
33,Bredasdorp,-34.5322,20.0403,46.06,79,8,3.44,ZA,2022-06-15 22:40:24
34,Ribeira Grande,38.5167,-28.7,65.05,90,12,5.44,PT,2022-06-15 22:36:50
35,Pisco,-13.7,-76.2167,64.45,72,0,16.11,PE,2022-06-15 22:40:25
36,Dikson,73.5069,80.5464,36.0,83,33,6.87,RU,2022-06-15 22:40:25
37,New Ulm,44.3125,-94.4605,80.92,43,0,12.66,US,2022-06-15 22:35:39
38,Moirang,24.5,93.7667,68.88,98,100,1.43,IN,2022-06-15 22:40:25
39,Bengkulu,-3.8004,102.2655,74.52,89,100,3.83,ID,2022-06-15 22:40:26
40,Hermanus,-34.4187,19.2345,51.26,71,6,8.68,ZA,2022-06-15 22:40:26
41,Fairbanks,64.8378,-147.7164,73.02,51,75,8.05,US,2022-06-15 22:40:27
42,Doha,25.2867,51.5333,91.38,44,0,2.3,QA,2022-06-15 22:40:27
43,Provideniya,64.3833,-173.3,39.36,100,100,13.42,RU,2022-06-15 22:40:27
44,New Norfolk,-42.7826,147.0587,42.3,93,97,1.01,AU,2022-06-15 22:40:27
45,Sao Filipe,14.8961,-24.4956,72.9,85,38,6.93,CV,2022-06-15 22:40:28
46,General Roca,-39.0333,-67.5833,47.62,57,0,2.51,AR,2022-06-15 22:40:28
47,Saskylakh,71.9167,114.0833,46.67,44,29,5.99,RU,2022-06-15 22:41:28
48,Conceicao Do Araguaia,-8.2578,-49.2647,75.31,53,1,3.78,BR,2022-06-15 22:41:29
49,Bathsheba,13.2167,-59.5167,83.01,83,40,21.85,BB,2022-06-15 22:41:29
50,Khatanga,71.9667,102.5,59.29,42,99,10.02,RU,2022-06-15 22:41:29
51,Terrace,54.5163,-128.6035,73.31,35,75,5.75,CA,2022-06-15 22:41:29
52,Hithadhoo,-0.6,73.0833,82.2,72,67,5.46,MV,2022-06-15 22:41:30
53,Merauke,-8.4667,140.3333,80.17,83,66,13.49,ID,2022-06-15 22:36:44
54,Asfi,32.2994,-9.2372,67.62,80,45,6.38,MA,2022-06-15 22:41:30
55,Butaritari,3.0707,172.7902,81.91,68,69,12.26,KI,2022-06-15 22:41:30
56,Lalmohan,22.3384,90.7419,82.58,85,98,17.2,BD,2022-06-15 22:41:31
57,Zhuanghe,39.7008,122.9911,65.73,75,13,3.91,CN,2022-06-15 22:41:31
58,Hami,42.8,93.45,83.71,22,96,13.96,CN,2022-06-15 22:41:31
59,Souillac,-20.5167,57.5167,71.98,78,75,17.27,MU,2022-06-15 22:41:32
60,Gambissara,13.2382,-14.3108,80.04,74,96,4.7,SN,2022-06-15 22:41:32
61,Vestmannaeyjar,63.4427,-20.2734,49.24,73,58,15.17,IS,2022-06-15 22:41:32
62,East London,-33.0153,27.9116,54.39,64,30,19.77,ZA,2022-06-15 22:41:32
63,Port Alfred,-33.5906,26.891,53.49,73,71,18.77,ZA,2022-06-15 22:41:33
64,Barrow,71.2906,-156.7887,41.02,81,20,11.5,US,2022-06-15 22:40:02
65,Bud,39.447,-86.1758,93.34,54,50,9.91,US,2022-06-15 22:41:33
66,Bethel,41.3712,-73.414,77.36,68,20,9.22,US,2022-06-15 22:41:33
